split,group,group_value,num_examples,positive_rate,accuracy,balanced_accuracy,auroc,auprc,f1,precision,recall,tn,fp,fn,tp
train,overall,overall,1156,0.19982698961937717,0.9930795847750865,0.9956756756756757,0.9996162396162397,0.9983854072757904,0.9829787234042553,0.9665271966527197,1.0,917,8,0,231
validation,overall,overall,165,0.2,0.9818181818181818,0.9886363636363636,0.9993112947658402,0.997350124622852,0.9565217391304348,0.9166666666666666,1.0,129,3,0,33
test-interpolation,overall,overall,260,0.2,0.9576923076923077,0.9447115384615385,0.9732803254437871,0.9447927733070959,0.897196261682243,0.8727272727272727,0.9230769230769231,201,7,4,48
test-extrapolation,overall,overall,1365,0.2,0.8344322344322345,0.6066849816849818,0.8981872828026674,0.6821562153151647,0.35428571428571426,0.8051948051948052,0.2271062271062271,1077,15,211,62
train,domain,blocks,45,0.2,1.0,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,36,0,0,9
train,domain,gripper,20,0.2,0.95,0.96875,0.96875,0.8875,0.8888888888888888,0.8,1.0,15,1,0,4
train,domain,logistics,60,0.2,0.9333333333333333,0.9583333333333333,0.984375,0.939031339031339,0.8571428571428571,0.75,1.0,44,4,0,12
train,domain,visitall-from-everywhere,1031,0.19980601357904948,0.997090203685742,0.9981818181818182,0.9999235069137983,0.9996409394326365,0.9927710843373494,0.9856459330143541,1.0,822,3,0,206
train,corruption_type,delete,221,0.0,1.0,nan,nan,nan,0.0,0.0,0.0,221,0,0,0
train,corruption_type,gold,232,0.9956896551724138,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,0,231
train,corruption_type,insert,15,0.0,0.4666666666666667,nan,nan,nan,0.0,0.0,0.0,7,8,0,0
train,corruption_type,replace,231,0.0,1.0,nan,nan,nan,0.0,0.0,0.0,231,0,0,0
train,corruption_type,swap,226,0.0,1.0,nan,nan,nan,0.0,0.0,0.0,226,0,0,0
train,corruption_type,truncate,231,0.0,1.0,nan,nan,nan,0.0,0.0,0.0,231,0,0,0
validation,domain,blocks,15,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12,0,0,3
validation,domain,gripper,10,0.2,0.9,0.9375,1.0,1.0,0.8,0.6666666666666666,1.0,7,1,0,2
validation,domain,logistics,20,0.2,0.9,0.9375,0.984375,0.95,0.8,0.6666666666666666,1.0,14,2,0,4
validation,domain,visitall-from-everywhere,120,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,96,0,0,24
validation,corruption_type,delete,33,0.0,1.0,nan,nan,nan,0.0,0.0,0.0,33,0,0,0
validation,corruption_type,gold,33,1.0,1.0,nan,nan,nan,1.0,1.0,1.0,0,0,0,33
validation,corruption_type,insert,2,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0,2,0,0
validation,corruption_type,replace,33,0.0,1.0,nan,nan,nan,0.0,0.0,0.0,33,0,0,0
validation,corruption_type,swap,31,0.0,0.967741935483871,nan,nan,nan,0.0,0.0,0.0,30,1,0,0
validation,corruption_type,truncate,33,0.0,1.0,nan,nan,nan,0.0,0.0,0.0,33,0,0,0
test-interpolation,domain,blocks,15,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12,0,0,3
test-interpolation,domain,gripper,15,0.2,0.9333333333333333,0.9583333333333333,1.0,1.0,0.8571428571428571,0.75,1.0,11,1,0,3
test-interpolation,domain,logistics,45,0.2,0.8888888888888888,0.9305555555555556,0.9876543209876543,0.9575757575757577,0.782608695652174,0.6428571428571429,1.0,31,5,0,9
test-interpolation,domain,visitall-from-everywhere,185,0.2,0.972972972972973,0.9425675675675675,0.9848429510591673,0.9596088225151693,0.9295774647887324,0.9705882352941176,0.8918918918918919,147,1,4,33
test-interpolation,corruption_type,delete,46,0.0,1.0,nan,nan,nan,0.0,0.0,0.0,46,0,0,0
test-interpolation,corruption_type,gold,52,1.0,0.9230769230769231,nan,nan,nan,0.96,1.0,0.9230769230769231,0,0,4,48
test-interpolation,corruption_type,insert,13,0.0,0.5384615384615384,nan,nan,nan,0.0,0.0,0.0,7,6,0,0
test-interpolation,corruption_type,repeat,1,0.0,1.0,nan,nan,nan,0.0,0.0,0.0,1,0,0,0
test-interpolation,corruption_type,replace,48,0.0,1.0,nan,nan,nan,0.0,0.0,0.0,48,0,0,0
test-interpolation,corruption_type,swap,48,0.0,0.9791666666666666,nan,nan,nan,0.0,0.0,0.0,47,1,0,0
test-interpolation,corruption_type,truncate,52,0.0,1.0,nan,nan,nan,0.0,0.0,0.0,52,0,0,0
test-extrapolation,domain,blocks,100,0.2,0.9,0.75,0.9762500000000001,0.9287229102167183,0.6666666666666666,1.0,0.5,80,0,10,10
test-extrapolation,domain,gripper,80,0.2,0.825,0.5859375,0.85546875,0.5886978721169898,0.3,0.75,0.1875,63,1,13,3
test-extrapolation,domain,logistics,90,0.2,0.8222222222222222,0.6805555555555556,0.8665123456790124,0.6535295466289914,0.5,0.5714285714285714,0.4444444444444444,66,6,10,8
test-extrapolation,domain,visitall-from-everywhere,1095,0.2,0.8301369863013699,0.589041095890411,0.9057254852901314,0.6840694316684529,0.30597014925373134,0.8367346938775511,0.1872146118721461,868,8,178,41
test-extrapolation,corruption_type,delete,273,0.0,0.989010989010989,nan,nan,nan,0.0,0.0,0.0,270,3,0,0
test-extrapolation,corruption_type,gold,273,1.0,0.2271062271062271,nan,nan,nan,0.3701492537313433,1.0,0.2271062271062271,0,0,211,62
test-extrapolation,corruption_type,insert,14,0.0,0.5,nan,nan,nan,0.0,0.0,0.0,7,7,0,0
test-extrapolation,corruption_type,replace,273,0.0,0.9926739926739927,nan,nan,nan,0.0,0.0,0.0,271,2,0,0
test-extrapolation,corruption_type,swap,259,0.0,0.9884169884169884,nan,nan,nan,0.0,0.0,0.0,256,3,0,0
test-extrapolation,corruption_type,truncate,273,0.0,1.0,nan,nan,nan,0.0,0.0,0.0,273,0,0,0
