split,group,group_value,num_examples,positive_rate,accuracy,balanced_accuracy,auroc,auprc,f1,precision,recall,tn,fp,fn,tp
validation,domain,logistics,20,0.2,0.75,0.84375,0.984375,0.95,0.6153846153846154,0.4444444444444444,1.0,11,5,0,4
validation,domain,visitall-from-everywhere,120,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,96,0,0,24
validation,corruption_type,delete,33,0.0,0.9393939393939394,nan,nan,nan,0.0,0.0,0.0,31,2,0,0
validation,corruption_type,gold,33,1.0,0.9090909090909091,nan,nan,nan,0.9523809523809523,1.0,0.9090909090909091,0,0,3,30
validation,corruption_type,insert,2,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0,2,0,0
validation,corruption_type,replace,33,0.0,0.9393939393939394,nan,nan,nan,0.0,0.0,0.0,31,2,0,0
validation,corruption_type,swap,31,0.0,0.9354838709677419,nan,nan,nan,0.0,0.0,0.0,29,2,0,0
validation,corruption_type,truncate,33,0.0,1.0,nan,nan,nan,0.0,0.0,0.0,33,0,0,0
test-interpolation,domain,blocks,15,0.2,0.9333333333333333,0.8333333333333333,1.0,1.0,0.8,1.0,0.6666666666666666,12,0,1,2
test-interpolation,domain,gripper,15,0.2,0.7333333333333333,0.8333333333333333,0.9166666666666666,0.8333333333333333,0.6,0.42857142857142855,1.0,8,4,0,3
test-interpolation,domain,logistics,45,0.2,0.7111111111111111,0.7777777777777777,0.8888888888888888,0.6944444444444444,0.5517241379310345,0.4,0.8888888888888888,24,12,1,8
test-interpolation,domain,visitall-from-everywhere,185,0.2,0.972972972972973,0.9425675675675675,0.9925127830533236,0.9746462264947744,0.9295774647887324,0.9705882352941176,0.8918918918918919,147,1,4,33
test-interpolation,corruption_type,delete,46,0.0,0.9130434782608695,nan,nan,nan,0.0,0.0,0.0,42,4,0,0
test-interpolation,corruption_type,gold,52,1.0,0.8846153846153846,nan,nan,nan,0.9387755102040817,1.0,0.8846153846153846,0,0,6,46
test-interpolation,corruption_type,insert,13,0.0,0.6153846153846154,nan,nan,nan,0.0,0.0,0.0,8,5,0,0
test-interpolation,corruption_type,repeat,1,0.0,1.0,nan,nan,nan,0.0,0.0,0.0,1,0,0,0
test-interpolation,corruption_type,replace,48,0.0,0.9166666666666666,nan,nan,nan,0.0,0.0,0.0,44,4,0,0
test-interpolation,corruption_type,swap,48,0.0,0.9583333333333334,nan,nan,nan,0.0,0.0,0.0,46,2,0,0
test-interpolation,corruption_type,truncate,52,0.0,0.9615384615384616,nan,nan,nan,0.0,0.0,0.0,50,2,0,0
test-extrapolation,domain,blocks,100,0.2,0.67,0.60625,0.815,0.5876141989563961,0.37735849056603776,0.30303030303030304,0.5,57,23,10,10
test-extrapolation,domain,gripper,80,0.2,0.7875,0.8671875,0.984375,0.8755099934787436,0.6530612244897959,0.48484848484848486,1.0,47,17,0,16
test-extrapolation,domain,logistics,90,0.2,0.8,0.7083333333333334,0.7631172839506173,0.4665568253782143,0.5263157894736842,0.5,0.5555555555555556,62,10,8,10
test-extrapolation,domain,visitall-from-everywhere,1095,0.2,0.8292237442922374,0.58675799086758,0.9048393486374345,0.6815455269096867,0.299625468164794,0.8333333333333334,0.182648401826484,868,8,179,40
test-extrapolation,corruption_type,delete,273,0.0,0.9523809523809523,nan,nan,nan,0.0,0.0,0.0,260,13,0,0
test-extrapolation,corruption_type,gold,273,1.0,0.2783882783882784,nan,nan,nan,0.4355300859598854,1.0,0.2783882783882784,0,0,197,76
test-extrapolation,corruption_type,insert,14,0.0,0.35714285714285715,nan,nan,nan,0.0,0.0,0.0,5,9,0,0
test-extrapolation,corruption_type,replace,273,0.0,0.9413919413919414,nan,nan,nan,0.0,0.0,0.0,257,16,0,0
test-extrapolation,corruption_type,swap,259,0.0,0.9459459459459459,nan,nan,nan,0.0,0.0,0.0,245,14,0,0
test-extrapolation,corruption_type,truncate,273,0.0,0.978021978021978,nan,nan,nan,0.0,0.0,0.0,267,6,0,0
