split,group,group_value,num_examples,positive_rate,accuracy,balanced_accuracy,auroc,auprc,f1,precision,recall,tn,fp,fn,tp
train,overall,overall,1156,0.19982698961937717,0.9844290657439446,0.9902702702702703,0.9994758394758395,0.9978529292128804,0.9625,0.927710843373494,1.0,907,18,0,231
validation,overall,overall,165,0.2,0.9636363636363636,0.9431818181818181,0.9795684113865931,0.954424111242293,0.9090909090909091,0.9090909090909091,0.9090909090909091,129,3,3,30
test-interpolation,overall,overall,260,0.2,0.9038461538461539,0.9182692307692308,0.9755917159763313,0.9303387197453772,0.7967479674796748,0.6901408450704225,0.9423076923076923,186,22,3,49
test-extrapolation,overall,overall,1365,0.2,0.8227106227106227,0.5787545787545788,0.8858799930228503,0.640173800722293,0.27976190476190477,0.746031746031746,0.17216117216117216,1076,16,226,47
train,domain,blocks,45,0.2,0.9555555555555556,0.9722222222222222,1.0,1.0000000000000002,0.9,0.8181818181818182,1.0,34,2,0,9
train,domain,gripper,20,0.2,0.9,0.9375,0.96875,0.8875,0.8,0.6666666666666666,1.0,14,2,0,4
train,domain,logistics,60,0.2,0.8666666666666667,0.9166666666666667,0.9704861111111112,0.8832713582713583,0.75,0.6,1.0,40,8,0,12
train,domain,visitall-from-everywhere,1031,0.19980601357904948,0.9941804073714839,0.9963636363636363,0.9999058546631362,0.9995755165876697,0.9856459330143541,0.9716981132075472,1.0,819,6,0,206
train,corruption_type,delete,221,0.0,0.9819004524886877,nan,nan,nan,0.0,0.0,0.0,217,4,0,0
train,corruption_type,gold,232,0.9956896551724138,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,0,231
train,corruption_type,insert,15,0.0,0.26666666666666666,nan,nan,nan,0.0,0.0,0.0,4,11,0,0
train,corruption_type,replace,231,0.0,1.0,nan,nan,nan,0.0,0.0,0.0,231,0,0,0
train,corruption_type,swap,226,0.0,1.0,nan,nan,nan,0.0,0.0,0.0,226,0,0,0
train,corruption_type,truncate,231,0.0,0.987012987012987,nan,nan,nan,0.0,0.0,0.0,228,3,0,0
validation,domain,blocks,15,0.2,0.8,0.5,0.9444444444444444,0.8055555555555556,0.0,0.0,0.0,12,0,3,0
validation,domain,gripper,10,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8,0,0,2
validation,domain,logistics,20,0.2,0.85,0.90625,1.0,1.0,0.7272727272727273,0.5714285714285714,1.0,13,3,0,4
validation,domain,visitall-from-everywhere,120,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,96,0,0,24
validation,corruption_type,delete,33,0.0,1.0,nan,nan,nan,0.0,0.0,0.0,33,0,0,0
validation,corruption_type,gold,33,1.0,0.9090909090909091,nan,nan,nan,0.9523809523809523,1.0,0.9090909090909091,0,0,3,30
validation,corruption_type,insert,2,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0,2,0,0
validation,corruption_type,replace,33,0.0,1.0,nan,nan,nan,0.0,0.0,0.0,33,0,0,0
validation,corruption_type,swap,31,0.0,1.0,nan,nan,nan,0.0,0.0,0.0,31,0,0,0
validation,corruption_type,truncate,33,0.0,0.9696969696969697,nan,nan,nan,0.0,0.0,0.0,32,1,0,0
test-interpolation,domain,blocks,15,0.2,0.8,0.5,0.9722222222222222,0.9166666666666665,0.0,0.0,0.0,12,0,3,0
test-interpolation,domain,gripper,15,0.2,0.6666666666666666,0.7916666666666667,1.0,1.0,0.5454545454545454,0.375,1.0,7,5,0,3
test-interpolation,domain,logistics,45,0.2,0.7333333333333333,0.8333333333333333,0.9691358024691358,0.8949445616112284,0.6,0.42857142857142855,1.0,24,12,0,9
test-interpolation,domain,visitall-from-everywhere,185,0.2,0.972972972972973,0.9831081081081081,0.9972607742878014,0.9885894485477731,0.9367088607594937,0.8809523809523809,1.0,143,5,0,37
test-interpolation,corruption_type,delete,46,0.0,0.9565217391304348,nan,nan,nan,0.0,0.0,0.0,44,2,0,0
test-interpolation,corruption_type,gold,52,1.0,0.9423076923076923,nan,nan,nan,0.9702970297029703,1.0,0.9423076923076923,0,0,3,49
test-interpolation,corruption_type,insert,13,0.0,0.23076923076923078,nan,nan,nan,0.0,0.0,0.0,3,10,0,0
test-interpolation,corruption_type,repeat,1,0.0,1.0,nan,nan,nan,0.0,0.0,0.0,1,0,0,0
test-interpolation,corruption_type,replace,48,0.0,0.9166666666666666,nan,nan,nan,0.0,0.0,0.0,44,4,0,0
test-interpolation,corruption_type,swap,48,0.0,0.9375,nan,nan,nan,0.0,0.0,0.0,45,3,0,0
test-interpolation,corruption_type,truncate,52,0.0,0.9423076923076923,nan,nan,nan,0.0,0.0,0.0,49,3,0,0
test-extrapolation,domain,blocks,100,0.2,0.83,0.63125,0.776875,0.5083487531520193,0.41379310344827586,0.6666666666666666,0.3,77,3,14,6
test-extrapolation,domain,gripper,80,0.2,0.8125,0.53125,0.9072265625,0.7055350091425459,0.11764705882352941,1.0,0.0625,64,0,15,1
test-extrapolation,domain,logistics,90,0.2,0.8,0.7291666666666667,0.8626543209876544,0.5932888282898939,0.55,0.5,0.6111111111111112,61,11,7,11
test-extrapolation,domain,visitall-from-everywhere,1095,0.2,0.8246575342465754,0.565068493150685,0.9207793832488897,0.7205482351656521,0.232,0.9354838709677419,0.1324200913242009,874,2,190,29
test-extrapolation,corruption_type,delete,273,0.0,0.9963369963369964,nan,nan,nan,0.0,0.0,0.0,272,1,0,0
test-extrapolation,corruption_type,gold,273,1.0,0.17216117216117216,nan,nan,nan,0.29375,1.0,0.17216117216117216,0,0,226,47
test-extrapolation,corruption_type,insert,14,0.0,0.5,nan,nan,nan,0.0,0.0,0.0,7,7,0,0
test-extrapolation,corruption_type,replace,273,0.0,0.9853479853479854,nan,nan,nan,0.0,0.0,0.0,269,4,0,0
test-extrapolation,corruption_type,swap,259,0.0,0.9884169884169884,nan,nan,nan,0.0,0.0,0.0,256,3,0,0
test-extrapolation,corruption_type,truncate,273,0.0,0.9963369963369964,nan,nan,nan,0.0,0.0,0.0,272,1,0,0
