split,group,group_value,num_examples,positive_rate,accuracy,balanced_accuracy,auroc,auprc,f1,precision,recall,tn,fp,fn,tp
train,overall,overall,1156,0.19982698961937717,0.9775086505190311,0.9859459459459459,0.9994851994851994,0.9978729434058304,0.9467213114754098,0.8988326848249028,1.0,899,26,0,231
validation,overall,overall,165,0.2,0.9393939393939394,0.9393939393939394,0.993801652892562,0.9789668201432907,0.8611111111111112,0.7948717948717948,0.9393939393939394,124,8,2,31
test-interpolation,overall,overall,260,0.2,0.9038461538461539,0.9110576923076923,0.9494267751479291,0.9003842656125344,0.7933884297520661,0.6956521739130435,0.9230769230769231,187,21,4,48
test-extrapolation,overall,overall,1365,0.2,0.715018315018315,0.7614468864468864,0.8475593393175811,0.5670179089781902,0.5407319952774499,0.3989547038327526,0.8388278388278388,747,345,44,229
train,domain,blocks,45,0.2,0.9777777777777777,0.9861111111111112,1.0,1.0000000000000002,0.9473684210526315,0.9,1.0,35,1,0,9
train,domain,gripper,20,0.2,0.8,0.875,1.0,1.0,0.6666666666666666,0.5,1.0,12,4,0,4
train,domain,logistics,60,0.2,0.75,0.84375,0.9427083333333333,0.8227711640211641,0.6153846153846154,0.4444444444444444,1.0,33,15,0,12
train,domain,visitall-from-everywhere,1031,0.19980601357904948,0.9941804073714839,0.9963636363636363,0.9998587819947043,0.999356926523821,0.9856459330143541,0.9716981132075472,1.0,819,6,0,206
train,corruption_type,delete,221,0.0,0.9773755656108597,nan,nan,nan,0.0,0.0,0.0,216,5,0,0
train,corruption_type,gold,232,0.9956896551724138,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,0,231
train,corruption_type,insert,15,0.0,0.4666666666666667,nan,nan,nan,0.0,0.0,0.0,7,8,0,0
train,corruption_type,replace,231,0.0,0.9826839826839827,nan,nan,nan,0.0,0.0,0.0,227,4,0,0
train,corruption_type,swap,226,0.0,0.9867256637168141,nan,nan,nan,0.0,0.0,0.0,223,3,0,0
train,corruption_type,truncate,231,0.0,0.974025974025974,nan,nan,nan,0.0,0.0,0.0,225,6,0,0
validation,domain,blocks,15,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12,0,0,3
validation,domain,gripper,10,0.2,0.9,0.9375,0.9375,0.8333333333333333,0.8,0.6666666666666666,1.0,7,1,0,2
validation,domain,logistics,20,0.2,0.55,0.53125,0.71875,0.5083333333333333,0.3076923076923077,0.2222222222222222,0.5,9,7,2,2
validation,domain,visitall-from-everywhere,120,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,96,0,0,24
validation,corruption_type,delete,33,0.0,0.9696969696969697,nan,nan,nan,0.0,0.0,0.0,32,1,0,0
validation,corruption_type,gold,33,1.0,0.9393939393939394,nan,nan,nan,0.96875,1.0,0.9393939393939394,0,0,2,31
validation,corruption_type,insert,2,0.0,0.5,nan,nan,nan,0.0,0.0,0.0,1,1,0,0
validation,corruption_type,replace,33,0.0,0.9090909090909091,nan,nan,nan,0.0,0.0,0.0,30,3,0,0
validation,corruption_type,swap,31,0.0,0.967741935483871,nan,nan,nan,0.0,0.0,0.0,30,1,0,0
validation,corruption_type,truncate,33,0.0,0.9393939393939394,nan,nan,nan,0.0,0.0,0.0,31,2,0,0
test-interpolation,domain,blocks,15,0.2,0.9333333333333333,0.9583333333333333,1.0,1.0,0.8571428571428571,0.75,1.0,11,1,0,3
test-interpolation,domain,gripper,15,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12,0,0,3
test-interpolation,domain,logistics,45,0.2,0.6666666666666666,0.7916666666666667,0.9074074074074074,0.6997594997594998,0.5454545454545454,0.375,1.0,21,15,0,9
test-interpolation,domain,visitall-from-everywhere,185,0.2,0.9513513513513514,0.9290540540540541,0.9645726807888969,0.932876174259917,0.88,0.868421052631579,0.8918918918918919,143,5,4,33
test-interpolation,corruption_type,delete,46,0.0,0.8478260869565217,nan,nan,nan,0.0,0.0,0.0,39,7,0,0
test-interpolation,corruption_type,gold,52,1.0,0.9230769230769231,nan,nan,nan,0.96,1.0,0.9230769230769231,0,0,4,48
test-interpolation,corruption_type,insert,13,0.0,0.5384615384615384,nan,nan,nan,0.0,0.0,0.0,7,6,0,0
test-interpolation,corruption_type,repeat,1,0.0,1.0,nan,nan,nan,0.0,0.0,0.0,1,0,0,0
test-interpolation,corruption_type,replace,48,0.0,0.9583333333333334,nan,nan,nan,0.0,0.0,0.0,46,2,0,0
test-interpolation,corruption_type,swap,48,0.0,1.0,nan,nan,nan,0.0,0.0,0.0,48,0,0,0
test-interpolation,corruption_type,truncate,52,0.0,0.8846153846153846,nan,nan,nan,0.0,0.0,0.0,46,6,0,0
test-extrapolation,domain,blocks,100,0.2,0.82,0.8687499999999999,0.964375,0.8932583056105738,0.6785714285714286,0.5277777777777778,0.95,63,17,1,19
test-extrapolation,domain,gripper,80,0.2,0.8125,0.5546875,0.84765625,0.5711783268077613,0.21052631578947367,0.6666666666666666,0.125,63,1,14,2
test-extrapolation,domain,logistics,90,0.2,0.7555555555555555,0.5555555555555556,0.7199074074074074,0.3689926037016225,0.26666666666666666,0.3333333333333333,0.2222222222222222,64,8,14,4
test-extrapolation,domain,visitall-from-everywhere,1095,0.2,0.6949771689497717,0.783675799086758,0.8585934405037426,0.550559710972247,0.5498652291105122,0.390057361376673,0.9315068493150684,557,319,15,204
test-extrapolation,corruption_type,delete,273,0.0,0.6410256410256411,nan,nan,nan,0.0,0.0,0.0,175,98,0,0
test-extrapolation,corruption_type,gold,273,1.0,0.8388278388278388,nan,nan,nan,0.9123505976095617,1.0,0.8388278388278388,0,0,44,229
test-extrapolation,corruption_type,insert,14,0.0,0.7857142857142857,nan,nan,nan,0.0,0.0,0.0,11,3,0,0
test-extrapolation,corruption_type,replace,273,0.0,0.6190476190476191,nan,nan,nan,0.0,0.0,0.0,169,104,0,0
test-extrapolation,corruption_type,swap,259,0.0,0.5752895752895753,nan,nan,nan,0.0,0.0,0.0,149,110,0,0
test-extrapolation,corruption_type,truncate,273,0.0,0.8901098901098901,nan,nan,nan,0.0,0.0,0.0,243,30,0,0
